,match_date,match_map,match_mode,match_duration,match_result,champ_name,champ_kills,champ_deaths,champ_assists,champ_farm,champ_gold,champ_level,champ_first_spell,champ_second_spell
680,2020-02-25,Howling Abyss,,18.05,defeat,Irelia,5,12,15,54,10400,16,SummonerSnowball,SummonerFlash
681,2020-02-25,Summoner's Rift,Normal (Draft Mode),31.55,defeat,Caitlyn,2,8,9,167,9400,14,SummonerHeal,SummonerFlash
682,2020-02-25,Summoner's Rift,Normal (Draft Mode),22.766666666666662,victory,Aphelios,14,2,7,134,10800,13,SummonerHeal,SummonerFlash
683,2020-02-25,Summoner's Rift,Normal (Draft Mode),26.516666666666662,victory,Aphelios,6,4,11,173,11100,13,SummonerHeal,SummonerFlash
684,2020-02-25,Summoner's Rift,Normal (Draft Mode),23.2,victory,Ezreal,5,3,5,120,8900,11,SummonerHeal,SummonerFlash
685,2020-02-25,Howling Abyss,,18.68333333333333,victory,Varus,9,7,26,36,12100,18,SummonerHeal,SummonerFlash
686,2020-02-25,Howling Abyss,,18.333333333333332,victory,Irelia,6,9,19,71,11600,17,SummonerSnowball,SummonerFlash
687,2020-02-25,Summoner's Rift,Normal (Draft Mode),39.95,defeat,Aphelios,5,12,3,214,13200,16,SummonerHeal,SummonerFlash
688,2020-02-25,Summoner's Rift,Normal (Draft Mode),36.56666666666666,defeat,Irelia,9,11,14,221,14800,16,SummonerTeleport,SummonerFlash
689,2020-02-25,Summoner's Rift,Normal (Draft Mode),29.43333333333333,victory,Irelia,2,5,5,201,10200,15,SummonerTeleport,SummonerFlash
690,2020-02-25,Summoner's Rift,Normal (Draft Mode),32.75,victory,Caitlyn,9,7,8,175,13400,14,SummonerHeal,SummonerFlash
691,2020-02-25,Summoner's Rift,Normal (Draft Mode),30.55,victory,Aphelios,14,4,8,189,15000,15,SummonerHeal,SummonerFlash
692,2020-02-25,Summoner's Rift,Normal (Draft Mode),40.08333333333332,defeat,Caitlyn,4,8,14,205,13000,17,SummonerHeal,SummonerFlash
693,2020-02-25,Summoner's Rift,Normal (Draft Mode),26.95,defeat,Ezreal,2,7,2,132,7400,11,SummonerHeal,SummonerFlash
694,2020-02-25,Summoner's Rift,Normal (Draft Mode),24.06666666666666,victory,Ezreal,12,3,8,116,10800,13,SummonerHeal,SummonerFlash
695,2020-02-25,Howling Abyss,,17.95,defeat,Morgana,5,8,20,21,10100,15,SummonerMana,SummonerFlash
696,2020-02-24,Howling Abyss,,17.666666666666664,victory,Caitlyn,18,7,10,89,14900,16,SummonerHeal,SummonerFlash
697,2020-02-24,Summoner's Rift,Normal (Draft Mode),28.75,defeat,Caitlyn,8,6,10,203,12400,13,SummonerHeal,SummonerFlash
698,2020-02-24,Summoner's Rift,Normal (Draft Mode),27.083333333333332,victory,Caitlyn,6,2,11,198,12400,15,SummonerHeal,SummonerFlash
699,2020-02-24,Summoner's Rift,Normal (Draft Mode),33.15,victory,Aphelios,10,7,12,150,13700,15,SummonerHeal,SummonerFlash
700,2020-02-24,Summoner's Rift,Normal (Draft Mode),26.16666666666666,victory,Aphelios,6,0,8,186,10700,14,SummonerHeal,SummonerFlash
701,2020-02-24,Summoner's Rift,Normal (Draft Mode),22.16666666666666,victory,Ezreal,3,3,12,105,8000,12,SummonerHeal,SummonerFlash
702,2020-02-24,Summoner's Rift,Normal (Draft Mode),3.2333333333333334,earlysurrender,Ezreal,0,0,0,15,971,2,SummonerHeal,SummonerFlash
703,2020-02-24,Howling Abyss,,24.11666666666666,victory,Singed,3,16,34,50,13200,18,SummonerHaste,SummonerFlash
704,2020-02-24,Howling Abyss,,20.91666666666666,defeat,Akali,5,11,13,51,11500,17,SummonerSnowball,SummonerFlash
705,2020-02-24,Howling Abyss,,23.73333333333333,defeat,Fiddlesticks,8,14,15,62,13400,18,SummonerMana,SummonerFlash
706,2020-02-24,Howling Abyss,,32.75,victory,Thresh,10,11,33,41,19300,18,SummonerMana,SummonerFlash
707,2020-02-24,Howling Abyss,,14.98333333333333,victory,Ziggs,8,5,37,51,10800,16,SummonerMana,SummonerFlash
708,2020-02-23,Howling Abyss,,28.833333333333332,defeat,Irelia,10,13,15,153,18900,18,SummonerHeal,SummonerFlash
709,2020-02-23,Howling Abyss,,9.683333333333332,victory,Miss Fortune,7,2,23,32,7600,12,SummonerHeal,SummonerFlash
710,2020-02-23,Howling Abyss,,20.083333333333332,victory,Lucian,10,6,14,82,14000,18,SummonerHeal,SummonerFlash
711,2020-02-21,Howling Abyss,,27.23333333333333,defeat,Heimerdinger,9,10,22,127,16800,18,SummonerMana,SummonerFlash
712,2020-02-16,Summoner's Rift,,14.8,victory,Irelia,3,3,3,15,7900,7,SummonerBoost,SummonerFlash
713,2020-02-16,Summoner's Rift,,19.68333333333333,defeat,Xayah,8,11,20,91,16000,16,SummonerBoost,SummonerFlash
714,2020-02-15,Summoner's Rift,,14.616666666666665,victory,Kai'Sa,27,8,10,89,19100,15,SummonerBoost,SummonerFlash
715,2020-02-15,Summoner's Rift,,17.516666666666666,defeat,Garen,1,15,2,54,9400,13,SummonerBoost,SummonerFlash
716,2020-02-15,Summoner's Rift,,21.016666666666662,victory,Malphite,17,10,12,90,18900,19,SummonerBoost,SummonerFlash
717,2020-02-10,Summoner's Rift,,22.96666666666666,defeat,Xayah,9,11,8,129,17300,21,SummonerBoost,SummonerFlash
718,2020-02-10,Summoner's Rift,Normal (Draft Mode),32.0,defeat,Irelia,7,9,6,181,12600,14,SummonerTeleport,SummonerFlash
719,2020-02-10,Summoner's Rift,Normal (Draft Mode),26.06666666666666,victory,Ezreal,10,3,6,172,11500,13,SummonerHeal,SummonerFlash
720,2020-02-10,Summoner's Rift,,18.23333333333333,defeat,Warwick,17,13,8,79,16700,14,SummonerBoost,SummonerFlash
721,2020-02-10,Summoner's Rift,,14.116666666666665,defeat,Thresh,0,11,14,28,7000,10,SummonerBoost,SummonerFlash
722,2020-02-10,Summoner's Rift,,17.166666666666664,victory,Akali,16,12,9,83,17800,16,SummonerBoost,SummonerFlash
723,2020-02-09,Summoner's Rift,,20.383333333333333,victory,Malphite,8,15,19,49,14300,17,SummonerBoost,SummonerFlash
724,2020-02-09,Summoner's Rift,,14.816666666666666,victory,Neeko,8,6,13,76,13400,13,SummonerBoost,SummonerFlash
725,2020-02-09,Summoner's Rift,Normal (Draft Mode),30.55,defeat,Caitlyn,2,4,1,184,9500,13,SummonerHeal,SummonerFlash
726,2020-02-09,Summoner's Rift,Normal (Draft Mode),27.133333333333333,victory,Ezreal,4,2,9,141,9700,14,SummonerHeal,SummonerFlash
727,2020-02-09,Summoner's Rift,,11.666666666666666,defeat,Zoe,4,5,1,39,7200,10,SummonerBoost,SummonerFlash
